address1,postcode,api_request_status,address2,address3,building-reference-number,current-energy-rating,potential-energy-rating,current-energy-efficiency,potential-energy-efficiency,property-type,built-form,inspection-date,local-authority,constituency,county,lodgement-date,transaction-type,environment-impact-current,environment-impact-potential,energy-consumption-current,energy-consumption-potential,co2-emissions-current,co2-emiss-curr-per-floor-area,co2-emissions-potential,lighting-cost-current,lighting-cost-potential,heating-cost-current,heating-cost-potential,hot-water-cost-current,hot-water-cost-potential,total-floor-area,energy-tariff,mains-gas-flag,floor-level,flat-top-storey,flat-storey-count,main-heating-controls,multi-glaze-proportion,glazed-type,glazed-area,extension-count,number-habitable-rooms,number-heated-rooms,low-energy-lighting,number-open-fireplaces,hotwater-description,hot-water-energy-eff,hot-water-env-eff,floor-description,floor-energy-eff,floor-env-eff,windows-description,windows-energy-eff,windows-env-eff,walls-description,walls-energy-eff,walls-env-eff,secondheat-description,sheating-energy-eff,sheating-env-eff,roof-description,roof-energy-eff,roof-env-eff,mainheat-description,mainheat-energy-eff,mainheat-env-eff,mainheatcont-description,mainheatc-energy-eff,mainheatc-env-eff,lighting-description,lighting-energy-eff,lighting-env-eff,main-fuel,wind-turbine-count,heat-loss-corridor,unheated-corridor-length,floor-height,photo-supply,solar-water-heating-flag,mechanical-ventilation,address,local-authority-label,constituency-label,posttown,construction-age-band,lodgement-datetime,tenure,fixed-lighting-outlets-count,low-energy-fixed-light-count,uprn
"7, Blackthorn Close",PO33 1HY,multiple_records_found_took_most_recent,,,5128436378,D,B,64,85,House,Mid-Terrace,2019-05-25,E06000046,E14000762,,2020-02-28,RHI application,67,87,218,61,2.4,37,0.7,59,59,369,284,416,267,65,Single,N,NODATA!,,,2206,100,"double glazing, unknown install date",Normal,0,3,3,89,0,From main system,Very Poor,Poor,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 270 mm loft insulation",Good,Good,"Air source heat pump, radiators, electric",Good,Very Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 89% of fixed outlets,Very Good,Very Good,electricity (not community),0,NO DATA!,,,,N,natural,"7, Blackthorn Close",Isle of Wight,Isle of Wight,RYDE,England and Wales: 1976-1982,2020-02-28 15:48:37,rental (social),,,1.00061E+11
"53, East Wichel Way",SN1 7AD,one_record_found,,,2673687678,C,B,77,90,House,Mid-Terrace,2019-11-20,E06000030,E14000947,,2019-11-21,rental (social),76,90,144,50,2.2,25,0.8,69,69,365,323,100,68,87,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,1,3,3,100,0,From main system,Good,Good,"Suspended, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"53, East Wichel Way",Swindon,South Swindon,SWINDON,England and Wales: 2007 onwards,2019-11-21 20:51:30,rental (social),,,10090041470
"24, High Street",SP11 9PZ,one_record_found,Ludgershall,,941238568,C,C,73,73,House,Semi-Detached,2009-02-19,E06000054,E14000665,,2009-02-24,rental (social),61,61,306,306,3.5,46,3.5,42,42,264,264,126,126,76,dual,N,NO DATA!,,,2402,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Average,Poor,"Suspended, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,Electric storage heaters,Average,Poor,Automatic charge control,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,"24, High Street, Ludgershall",Wiltshire,Devizes,ANDOVER,England and Wales: 2003-2006,2009-02-24 18:24:32,rental (social),,,1.00121E+11
"7, Calcot Place",RG31 7RT,one_record_found,Low Lane,,3082797668,D,C,65,74,House,Enclosed End-Terrace,2009-07-16,E06000037,E14000890,,2009-09-26,rental (social),58,70,351,256,3,59,2.1,25,25,422,336,134,97,50.2,Single,Y,NO DATA!,,,2104,0,single glazing,Normal,0,2,2,100,0,From main system,Average,Good,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Solid brick, with internal insulation",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.27,0,N,natural,"7, Calcot Place, Low Lane",West Berkshire,Reading West,READING,England and Wales: before 1900,2009-09-26 20:53:53,rental (social),,,2.00005E+11
"11, Lancaster Green",SO20 6DQ,(),Kings Somborne,,1344244968,C,B,79,90,House,Mid-Terrace,2018-10-10,E07000093,E14000901,Hampshire,2018-10-10,RHI application,81,91,121,45,1.7,20,0.6,99,63,367,374,76,76,83,Single,N,NODATA!,,,2206,100,double glazing installed during or after 2002,Normal,0,4,4,44,0,"From main system, plus solar",Average,Very Good,"Suspended, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 270 mm loft insulation",Good,Good,"Air source heat pump, radiators, electric",Average,Very Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 44% of fixed outlets,Average,Average,electricity (not community),0,NO DATA!,,,,Y,"mechanical, extract only","11, Lancaster Green, Kings Somborne",Test Valley,Romsey and Southampton North,STOCKBRIDGE,England and Wales: 2007 onwards,2018-10-10 16:10:42,rental (social),,,10023629060
"1, Lancaster Green",SO20 6DQ,(),Kings Somborne,,5883244968,C,B,76,89,House,Semi-Detached,2018-12-10,E07000093,E14000901,Hampshire,2018-12-18,RHI application,79,90,151,59,1.6,25,0.6,51,51,333,333,130,130,63,Single,N,NODATA!,,,2206,100,double glazing installed during or after 2002,Normal,0,2,2,100,0,"From main system, plus solar",Average,Very Good,"Suspended, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, insulated (assumed)",Good,Good,"Air source heat pump, radiators, electric",Average,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),0,NO DATA!,,,,Y,"mechanical, extract only","1, Lancaster Green, Kings Somborne",Test Valley,Romsey and Southampton North,STOCKBRIDGE,England and Wales: 2007 onwards,2018-12-18 09:28:19,rental (social),,,10023629050
"24, Dryden Close",PO16 7NJ,(),,,3335800478,C,B,69,87,House,End-Terrace,2015-10-22,E07000087,E14000699,Hampshire,2015-10-26,non marketed sale,68,86,206,63,2.4,36,0.8,74,48,416,369,111,63,66,Unknown,Y,NODATA!,,,2104,100,double glazing installed before 2002,Normal,0,4,4,44,0,From main system,Good,Good,"Solid, limited insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 44% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,,,N,natural,"24, Dryden Close",Fareham,Fareham,FAREHAM,England and Wales: 1996-2002,2015-10-26 09:35:01,rental (social),,,1.0006E+11
"11, Frogmore Close",SL1 9BN,(),,,4981902578,C,B,72,89,House,End-Terrace,2017-05-25,E06000039,E14000930,,2017-05-31,rental (social),72,89,195,59,2.1,34,0.7,53,53,336,308,130,75,60,Unknown,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,75,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"11, Frogmore Close",Slough,Slough,SLOUGH,England and Wales: 1983-1990,2017-05-31 05:40:45,rental (social),,,1.0008E+11
"63, Stag Hill",RG22 6JF,(),,,5681214668,C,C,75,75,House,End-Terrace,2009-06-26,E07000084,E14000545,Hampshire,2009-06-29,rental (social),71,71,207,207,2.5,35,2.5,34,34,336,336,112,112,72,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,3,3,100,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,"63, Stag Hill",Basingstoke and Deane,Basingstoke,BASINGSTOKE,England and Wales: 1950-1966,2009-06-29 10:44:58,rental (social),,,1.0006E+11
"126, Quilter Road",RG22 4HB,(),,,4328141378,C,B,69,88,House,End-Terrace,2015-01-09,E07000084,E14000545,Hampshire,2015-01-13,rental (social),66,87,220,73,3,39,1,65,50,509,404,148,72,78,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,4,4,70,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 70% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"126, Quilter Road",Basingstoke and Deane,Basingstoke,BASINGSTOKE,England and Wales: 1967-1975,2015-01-13 11:19:48,rental (social),,,1.0006E+11
